,Unnamed: 0,Comments,Sac_score,sentiment,Emotions,Emotions_label,Emoji_name,emojis
0,0,Sorry No Comments I came here to read comments  😜,1,0,sadness,1,winking face with tongue,😜
1,1,Hi guys I m so happy and proud of myself and I thought I should share this with you Today I saw myself on TV when I turned it off  😝,1,1,joy,2,squinting face with tongue,😝
2,2,Hahahaha your intelligence  😜,1,1,joy,2,winking face with tongue,😜
3,3,Aqsa Naveed we were proud backbenchers  😜,1,1,joy,2,winking face with tongue,😜
4,4,Hemant extraordinary sketcher right Ujjawal  😝,1,1,surprise,6,squinting face with tongue,😝
5,5,Boys should respect them  🔫😜,1,1,joy,2,"water pistol,winking face with tongue",🔫😜
6,6,Your love bro  😜,1,1,love,3,winking face with tongue,😜
7,7,Bro u r handsome  😝,1,1,joy,2,squinting face with tongue,😝
8,8,This talent I don t have pls teach me Prani  😜,1,1,joy,2,winking face with tongue,😜
9,9,Sunny Yadav wow wat an assumption  😝,1,1,joy,2,squinting face with tongue,😝
10,10,I will try my best for u drling  😂😜,1,1,joy,2,"FACE WITH TEARS OF JOY,winking face with tongue",😂😜
11,11,U can do this I trust you  😜,1,1,joy,2,winking face with tongue,😜
12,12,Learning from my guru Happy teacher s Day  😝,1,1,joy,2,squinting face with tongue,😝
13,13,Nothing comes easy x000D  elfiequeentitle 😜😀,1,1,joy,2,"winking face with tongue,GRINNING FACE",😜😀
14,14,Nice pose will try it  😝,1,1,joy,2,squinting face with tongue,😝
15,15,And also Kiran Gaware Patil with her newfound talent for mirror selfies if you know what i mean  😏😝,1,1,joy,2,"SMIRKING FACE,squinting face with tongue",😏😝
16,16,Doesn t matter if i am going to the same place I ll still wear the same shirt x000D I can wear one shirt for years  😂😝,1,0,joy,2,"FACE WITH TEARS OF JOY,squinting face with tongue",😂😝
17,17,But sometimes parfume also can t covering that smell  😃😜,1,-1,fear,5,"grinning face with big eyes,winking face with tongue",😃😜
18,18,yeh kind of but it depends which cloths make us comfortable so you must also wear the same cloths till it get dirt  😉,1,0,joy,2,WINKING FACE,😉
19,19,Its big proud  😜,1,1,joy,2,winking face with tongue,😜
20,20,Looking for my gorgeous soulmate while doing workout and studying intensively  😏,1,1,joy,2,SMIRKING FACE,😏
21,21,Okay fine ladies If you insist  😉,1,1,joy,2,WINKING FACE,😉
22,22,Love you  😉,1,1,love,3,WINKING FACE,😉
23,23,Awesome  😜,1,1,joy,2,winking face with tongue,😜
24,24,Selfie with Flexiblity Skills  😂😜,1,1,joy,2,"FACE WITH TEARS OF JOY,winking face with tongue",😂😜
25,25,best joke eva  😂😜,1,1,joy,2,"FACE WITH TEARS OF JOY,winking face with tongue",😂😜
26,26,Y don t u giv a try i ll be mind blowing  😉,1,1,anger,4,WINKING FACE,😉
27,27,Correct  😜,1,1,joy,2,winking face with tongue,😜
28,28,Wow she got PHD on selfie taking  💋👅,1,1,joy,2,"KISS MARK,TONGUE",💋👅
29,29,U deserve it dear  😜😙,1,1,love,3,"winking face with tongue,KISSING FACE WITH SMILING EYES",😜😙
30,30,Cockroach in your room is cool na  😝,1,1,joy,2,squinting face with tongue,😝
31,31,Kinjal Zota we are trustworthy u know  😝,1,1,joy,2,squinting face with tongue,😝
32,32,Shervani U won t be able to climb the door that s y i tagged u  😹,1,1,fear,5,cat with tears of joy,😹
33,33,hahaha love you two  😝,1,1,love,3,squinting face with tongue,😝
34,34,Edi wow  👅,1,1,joy,2,TONGUE,👅
35,35,I have a good idea give me your ATM card I will definitely help out don t worry  😜,1,-1,joy,2,winking face with tongue,😜
36,36,Wrong answer  😜,1,-1,anger,4,winking face with tongue,😜
37,37,Quite one sleepy one and The dumb one  😛,1,-1,sadness,1,face with tongue,😛
